"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"464","Neil Diamond","You Don't Bring Me Flowers","25","1978","CBS","86077","NM","NM",,,
"465","Neil Sedaka","Yesterday's Pop Scene - Oh, Carol!","25","1972","RCA","INTS1131","VG+","VG+",,,
"756","Neil Sedaka","The Hungry Years (Gatefold)","30","1975","The Rocket","PIG 2157","NM","VG+",,,
"781","New Musik","Anywhere (Gatefold)","30","1981","GTO Records","GTLP044","NM","NM",,,
"466","Nick Heyward","North Of A Miracle (Gatefold)","30","1983","Arista","205 765","VG+","VG+",,,
"467","Nicole McCloud","What About Me?","30","1985","CBS","PRT26844","VG+","VG+",,,
"468","Nik Kershaw","Human Racing","20","1984","MCA","250 574-1","VG+","VG",,,
"469","Nilsson","Rock'N'Roll","25",,"Pickwick","SPC3321","VG+","VG+",,,
"470","Nini Rosso","In The World","25","1979","Hansa","200 981-320","VG+","VG+",,,
"705","Nona Hendryx","Female Trouble","20","1987","EMI America","ST-17248","VG+","VG",,,
"840","Nova","Terranova","25","1982","CNR","0060.525","VG+","VG",,,
"471","Nutshell","Believe It Or Not","25","1979","Myrrh","MYR1084","VG+","VG+",,,
"836","Oliver Onions","Santa Maria","25","1980","Polydor","2374 167","NM","NM",,,
"472","Otis Redding","Star-Collection","25","1973","Midi","MID20 043","VG+","VG+",,,
"473","P.S. Corporation","Oltime Party (Original Dixieland)","25","1974","CBS","88051","VG+","VG+",,,
"474","Passport","Iguacu","25","1977","Atlantic","ATL50 341","VG","VG+",,,
"842","Passport","Doldinger Jubilee '75 (Gatefold)","25","1975","Atlantic","ATL 50 186","VG+","G",,,
"476","Pat Benatar","Precious Time","25","1981","Chrysalis","203 894","VG+","VG+",,,
"477","Pat Boone","Tenderly","25","1959","London Records","HAD.2204, HA-D 2204","VG+","VG+",,,
"478","Pat Boone","The Best Of - 22 Original Hits","25","1980","Warwick","WW 5089","NM","NM",,,
"479","Pat Boone","Speedy Gonzales","25","1974","Metronome","200.186","VG+","VG+",,,
"480","Patrick Gammon","Don't Touch Me","25","1979","Motown","1C 064-63 003","NM","VG+",,,
"481","Paul Anka","The Original Hits Of Paul Anka","25","1974","Embassy","EMB 31054","VG+","VG+",,,
"482","Paul Anka","Live In New York","25","1975","RCA","FCL1 7153","VG+","VG+",,,
"483","Paul Anka","Forever -32Hits and the Story of Paul Anka (2LP)","30","1980","RCA","CL 42933","VG+","VG+",,,
"484","Paul Anka","Golden Songs","25","1981","HEP","HN4091","NM","VG+",,,
"485","Paul Anka","Hits Of Yesterday","25","1983","CBS","CBS CL466474","VG+","VG+",,,
"486","Paul Anka","The Best Of","25","1971","RCA","INTS1267","VG+","VG+",,,
"487","Paul Young","No Parlez","25","1983","CBS","25 521","VG+","VG+",,,
"488","Paul Young","The Secret Of Association","25","1985","CBS","CBS26234","VG+","VG+",,,
"475","Peaches and Herb","Sayin' Something","25","1981","Polydor","PD-1-6332","VG+","VG",,,
"489","Percy Sledge","Star-Collection","25","1973","Midi","MID20019","VG+","VG+",,,
"490","Percy Sledge","Star-Collection vol.2","25","1973","Midi","MID20065","VG+","VG+",,,
"491","Pete Bardens","Speed Of Light","35","1988","Cinema/Capitol","7 48967 1","VG+","VG+",,,
"492","Pete Seger","We Shall Overcome","20","1970","AMIGA","8 45 038","VG+","VG+",,,
"493","Pete Tex","Plays Golden Saxophon Hits","20","1975","BASF","17 22495-3","VG+","VG+",,,
"497","Peter & Gordon","The Best Of","25","1978","MFP","1A022-58030","VG+","VG+",,,
"494","Peter Frampton","Frampton Comes Alive (Double LP)","40","1976","A&M","AMLM63703","VG+","VG+",,,
"751","Peter Frampton","Where I Should Be","35","1979","A&M","AMLK63710","NM","NM",,,
"764","Peter Frampton","Premonition","30","1986","Atlantic","81290-1","VG+","VG+",,,
"734","Peter Frampton,  Bee Gees & Various","Sgt. Pepper's Lonely Hearts Club Band (OST)(2LP)","50","1978","RSO","2658 128","VG+","VG+",,,
"495","Peter Hofmann","Rock Classics","25","1982","CBS","85 965","VG+","VG+",,,
"731","Peter Kent","The Dream Maschine Part 1&2","30","1980","Electrola","064-46012","NM","NM",,,
"496","Peter Shilling","120 Grad","35","1984","WEA","240 480-1","VG+","VG+",,,
"835","Peter Tosh","Bush Doctor","30","1978","EMI Electrola","1C 064-61 708","VG+","VG",,,
"498","Peter, Paul and Mary","Star Collection","15","1972","Midi","MID26001","VG+","VG",,,
"499","Peter, Paul and Mary","The Best Of","20","1967","Warner Bros.","WS1683","VG+","VG+",,,
"500","Peter, Paul and Mary","The Most Beautiful Songs (2LP)","30","1972","Warner Bros.","WB 66015","NM","NM",,,
"501","Petula Clark","Profile","25","1977","Vogue","6.24272","VG+","VG+",,,
"502","Ph.D.","Ph.D.","30","1981","WEA","WEA 99150","NM","NM",,,
"503","Phil Carmen","Wise Monkeys","25","1986","Metronome","829 051-1","VG+","VG+",,,
"504","Phil Carmen","City Walls","25","1987","Metronome","831 558-1","NM","NM",,,
"505","Phil Carmen","Live In Montreaux","25","1978","Metronome","833 527-1","VG+","VG+",,,
"506","Philip Bailey","Chinese Wall","25","1984","CBS","26161","VG+","VG+",,,
"507","Phillysound","The Fantastic Sound Of Philadelphia","20","1974","Philadelphia","PIR80281","VG","VG",,,
"508","Phillysound 2","The Fantastic Sound Of Philadelphia","20","1975","Philadelphia","PIR80733","VG+","VG",,,
"509","Phyllis Nelson","I Like You","25","1985","Carrere","CAR 829 086-1","NM","VG+",,,
"510","Poco","Ghost Town","35","1982","Atlantic","ATL K 80 902","NM","NM",,,
"511","Pointer Sisters","Energy","20","1978","Planet Records","PL52 107","VG+","VG",,,
"512","Pointer Sisters","Priority","20","1979","Planet Records","PL 52 161","VG+","G",,,
"514","Precious Wilson","On The Race Track","25","1980","Hansa Int.","202 912-320","VG+","VG+",,,
"513","Private Lives","Prejudice and Pride","25","1984","EMI","1C 064 2401361","VG+","VG+",,,
"699","R.Dean Taylor","I Think Therefore I Am","25","1970","Rare Earth","RS 522","NM","NM",,,
"516","Rainbirds","Rainbirds","25","1987","Mercury","834 023-1","VG+","VG",,,
"517","Rainbirds","Call Me Easy Say I'm Strong Love Me My Way It Ain't Wrong","25","1989","Mercury","838176-1","VG+","VG+",,,
"515","Ralph McTell","Streets Of London","25","1968","Pickwick","SHM926","VG+","VG+",,,
"518","Ramsey Lewis","The Best Of","25","1970","Bellaphon","Bl15109",,,,,
"519","Randy Crawford","Everything Must Change","25","1976","WB","K 56 328","VG+","VG",,,
"520","Rasa","Coming Into Full Bloom","25","1979","Lotus Eye","BBT S-17","NM","VG+",,,
"521","Rasa","Setting The Scene","25","1980","Lotus Eye","BBT S-18","NM","VG+",,,
"522","Rasa","Transparent Media","30","1981","Lotus Eye","BBT S-21","VG+","VG",,,
"523","Rasa","Creation","25","1981","Lotus Eye","BBT S-20","VG+","VG+",,,
"524","Rasa","Universal Forum","25","1982","Lotus Eye","BBT S-22","NM","NM",,,
"525","Ray Conniff and The Singers","This Guy's In Love With You","20","1974","CBS","CBS 78 251","VG","VG+",,,
"526","Ray, Goodman & Brown","RGB II",,"1980","Polydor","PD-1-6299",,,,,
"528","Real Life","Heart Land","25","1983","Curb","INT 147.710","VG+","VG+",,,
"529","Reinhard Fendrich","Auf und Davon","25","1983","Metronome","813 363-1","NM","NM",,,
"530","Richard Clayderman","Concerto","30","1979","Telefunken","6.23998","NM","NM",,,
"531","Richard Clayderman","Traumerein 2 (Die schonsten Klaviermelodien)","25","1980","Teldec","31 412 0","NM","NM",,,
"532","Richard Clayderman","Ballade Pour Adeline","30","1977","Telefunken","6.23301","NM","NM",,,
"533","Richard Clayderman & James Last","Traummelodien","30","1990","Polystar","LP 847 542-1","NM","NM",,,
"697","Richie Havens","Somethin' Else Again","20",,"Verve","FVS9526","VG","G",,,
"778","Rick Grech","The Last Five Years","35","1973","RSO","2394 111","NM","NM",,,
"698","Rick Nelson","The Very Best Of","20","1975","United Artists","UA-LA330E","VG+","VG+",,,
"534","Rick Springfield","Hard To Hold (Soundtrack Recording)","30","1984","RCA","BL84935","VG+","VG+",,,
"535","Rick Springfield","Tao","35","1985","RCA","PL 85370","VG","VG+",,,
"700","Ricky Kings","Rock'N'Roll Party","25","1984","Epic","26158","NM","NM",,,
"536","Rita Coolidge","Love Me Again (Gatefold Cover)","20","1978","A&M","AMLH64699","VG","VG",,,
"537","Rita Coolidge","Never Let You Go","35","1983","AM records","AMLH64914","VG+","VG+",,,
"538","Ritchie Francis","Song Bird (Gatefold Cover)","25","1971","Global","26 006-7","VG+","VG+",,,
"539","Rob Hoeke Boogie Woogie Quartet","That's Boogie Woogie","25",,"Fontana","6428 011","VG+","VG+",,,
"540","Robert Palmer","Double Fun","25","1978","Island","ILPS 9476","VG","VG",,,
"541","Robert Tepper","No Easy Way Out","20","1986","Bellaphon","260-14-039","VG+","VG+",,,
"542","Rod Stewart","A Night On The Town","30","1976","Warner Bros.","WB56 234","VG+","VG+",,,
"543","Rod Stewart","Foot Loose & Fancy Free","25","1977","Warner Bros.","WB65 423","VG","VG",,,
"736","Rod Stewart","Tonight I'm Yours","40","1981","Warner Bros","WB K 56 951","NM","NM",,,
"820","Rod Stewart","Greatest Hits","35","1979","Warner Bros","WB 56744","VG+","VG",,,
"545","Rodgers and Hammerstein","The Sound Of Music - Movie Soundtrack","20","1965","RCA Victor","LOCD 2005","G","VG",,,
"702","Roger Champman and The Shortlist","Live In Hamburg","25","1979","Acrobat","C 064-63 482","VG+","VG",,,
"544","Roger Whittaker","The Best Of Roger Whittaker 2","25","1976","Aves","69.020","NM","NM",,,
"546","Rondo Veneziano","Rondo Veneziano","25","1980","Baby Records","BR56011","VG+","VG+",,,
"547","Rondo Veneziano","Venezia 200","25","1983","Baby Records","42 174 3","VG+","VG",,,
"548","Rondo Veneziano","Fantasia Veneziana","25","1986","Baby Records","13 028 6","VG+","VG",,,
"832","Roy Orbison","Mystery Girl","30","1989","Virgin","209 576","NM","VG+",,,
"549","Rubettes","Little Darling","30","1975","State Records","2309 004","NM","NM",,,
"550","Rupert","Tribute to Elvis (3LP)","25","1975","Copyrite","CR8101","VG","G",,,
"551","Russ Ballard","The Fire Still Burns","25","1985","EMI America","1C 064-24 0367","VG+","VG",,,
"552","Saga","Behaviour","35","1985","Polydor","825 840-1","VG+","VG+",,,
"553","Saga","Images At Twilight","30","1976","Polydor","2391 437","VG+","VG",,,
"554","Saga","In Transit","35","1982","Polydor","2374 200","VG+","VG+",,,
"555","Saga","Silent Knight","35","1980","Polydor","2374 166","VG+","VG+",,,
"556","Sailor","Greatest Hits vol.1","20","1978","Epc","EPC82754","VG","VG",,,
"557","Sailor","The Third Step (Gatefold)","25","1976","Epic","EPC 81701","VG+","VG+",,,
"558","Sailor","Trouble","25","1975","Epic","EPC 69192","VG+","VG",,,
"559","Sal Paradise","Shimmer","20","1984","Arista","206 156","VG","VG+",,,
"560","Sally Oldfield","Easy","25","1979","Castle","CLALP102","VG+","VG+",,,
"561","Sally Oldfield","Femme","30","1987","CBS","4510341","VG+","VG+",,,
"562","Sally Oldfield","Playing in the Flame","30","1981","Bronze","204140-320","VG+","VG+",,,
"776","Sam & Dave","Soul Man","25","1967","Atlantic","STAX S725","VG","VG",,,
"563","Sam The Sham and The Pharaohs","Their Second Album","20","1965","MGM","SE-4314","VG+","VG+",,,
"692","Sammy Davis","Star Collection","20",,"Midi","MID24005","VG+","VG",,,
"564","Sammy Davis Jr.","Hearin' is Believin'","25","1979","RCA","PL40801","VG+","VG+",,,
"566","Santa Esmeralda & Leroy Gomez","Don't Let Me Be Misunderstood","20","1977","Philips","9101149","NM","VG+",,,
"884","Santana","Santana's Greatest Hits","20","1974","CBS","CBS69081","VG","G",,,
"567","Saragossa Band","Saragossa Band","25","1979","Ariola","34 279 0","VG+","VG",,,
"568","Secret Service","Oh Susie","30","1980","Strand","31 705 7","VG+","VG+",,,
"569","Shakatak","TheVery Best Of","30","1988","Arcade","LP 01.3690.21","VG+","VG+",,,
"693","Shakatak","Out Of This World","25","1983","Polydor","815 304-1","NM","NM",,,
"694","Shakatak","Drivin' Hard","25","1981","Polydor","2383 607","NM","VG+",,,
"695","Shakatak","Invitations","25","1982","Polydor","2383 652","VG+","VG+",,,
"696","Shakatak","Down On The Street","20","1984","Polydor","823 304-1","VG+","VG",,,
"570","Shakin' Stevens","Shaky","30","1981","Epic","913855","NM","VG+",,,
"713","Shakin' Stevens","The Bop Won't Stop (Gatefold)","35","1983","Epic","EPC86301","NM","NM",,,
"714","Shakin' Stevens","Jetzt kommt Shaky (Best of) (Gatefold)","30","1983","Epic","EPC SHAKY100","NM","NM",,,
"712","Shakin' Stevens & The Sunsets","From Memphis to New Orleans","25","1983","Teldec","6.25605AO","NM","VG+",,,
"571","Shanana","Shanana","25","1971","Kama Sutra","2319 007","VG+","VG+",,,
"572","Sheila B. Devotion","Singing In The Rain","25","1977","Carrere","67.187","VG","VG+",,,
"573","Shirley Bassey","Big Spender","25","1973","Sunset","SLS 50 262 Z","NM","NM",,,
"574","Shirley Bassey","Good Bad but Beautiful","25","1975","United Artists","UAS 29 881 XO","NM","VG+",,,
"575","Shirley Bassey","Gold Collection (Double LP)","30","1979","Liberty","1C 2LP 134","VG+","VG+",,,
"740","Shirley Bassey","Shirley Bassey (Double LP)","30","1974","MFP","1M 146 - 50 292","NM","VG+",,,
"789","Shirley Bassey","Love, Life and Feelings","15","1976","United Artists","UA-LA605G","VG","VG",,,
"790","Shirley Bassey","And I Love You So","20","1972","United Artists","1C 064-94072","VG+","VG",,,
"711","Shirley Bassey","Something","25","1970","United Artists","UAS29100","VG+","VG+",,,
"576","Siegfried Schwab & Peter Horton","Guitarissimo","15","1978","Nature"," 0060.131","VG+","VG+",,,
"831","Silver Convention","Madhouse","30","1976","Jupiter Records","28 222OT","VG+","VG",,,
"721","Simple Minds","New Gold Dream (81-82-83-84)","25","1982","Virgin","204 965","VG","VG",,,
"720","Skiffle","The Best Of Skiffle","20","1974","2001 Metronome","200.194","NM","NM",,,
"579","Sky","Sky","25","1979","Ariola","200 589","NM","NM",,,
"580","Sky","Sky III","25","1981","Ariola","32 848 4","VG+","VG",,,
"581","Sky","Masterpieces -The Very Best of Sky (Gatefold)","25","1984","Telstar","STAR2241","VG+","VG",,,
"582","Sly Fox","Lets Go All The Way","35","1985","Capitol","064-24 0291-1","VG+","VG+",,,
"583","Sniff 'n' the Tears ","Fickle Heart","30","1978","Chiswick","0067.065","VG+","VG+",,,
"584","Soeur Sourire","The Singing Nun","10","1963","Philips","PCC-203","VG","VG",,,
"725","Sonny & Cher","The Sonny & Cher Collection","30","1990","WEA","9548-30152","VG+","VG+",,,
"585","Spargo","Good Time Spirit (Gatefold)","25","1980","Papagayo","1C 064-46 182","VG+","VG",,,
"586","Spotnicks","If You Could Read My Mind","15","1972","Polydor","62 199","VG+","VG+",,,
"587","Spotnicks","On Tour","20","1972","Karussel","2499050","VG+","VG+",,,
"588","Spotnicks","Something Like Country","20","1972","Polydor","248 112","VG+","VG+",,,
"722","Spotnicks","Recital des Spotnicks a Berlin","25","1974","President","KVP308","VG","VG+",,,
"701","Stanley Clarke","School Days","20","1976","Nemperor RecordsNE 50 296","NE 50 296 ","VG+","G",,,
"590","Stars On '45","Long Play Album vol. 2","35","1981","CNR","655.130","VG+","VG",,,
"591","Status Quo","1+9+8+2","35","1982","Vertigo","6 302 189","VG+","VG+",,,
"592","Status Quo","Hello!","35","1973","Vertigo","6360 098","VG+","VG+",,,
"593","Status Quo","Live (2LP)","25","1977","Capitol","SKBB-11623","VG","VG",,,
"594","Status Quo","Rockin' Around With…","30","1983","SuperStar","SU1018","VG+","VG+",,,
"859","Status Quo","Whatever You Want","35","1979","Vertigo","6360 175","NM","NM",,,
"704","Steve Goodman","The Best Of The Asylum Years Vol. One","20","1988","Red Pajamas","RPJ-006","VG+","VG",,,
"595","Summer","Flying Home","30","1979","Touchstone","BBT 113T","VG+","VG+",,,
"596","Supermax","World Of Today","30","1977","Atlantic","ATL50423","VG+","VG",,,
"597","Supertramp","…famous last words…","45","1982","A&M","AMLK63732","NM","NM",,,
"599","Supertramp","Crime Of The Century","45","1974","A&M","AMLS68258","VG+","VG+",,,
"600","Supertramp","Die Songs Einer Supergrupe (Best Of)","25","1984","A&M","AMTV4","VG","VG",,,
"601","Sybil","Sybil","30","1989","Metronome","841 762-1","VG+","VG+",,,
"602","Syd Lawrence & His Orchestra","Glenn Miller Hits (2 LP)","25","1980","Philips","61 590","VG+","VG+",,,
"844","Tammy Wynette","Greatest Hits Volume II","20","1971","Epic","E30733","G","VG",,,
"876","Tax","Tax","20","1980","Jupiter Records","6.24819","VG+","VG",,,
"603","Teaze","One Night Stands","25","1979","Aquarius Rec.","AQR523","VG+","VG",,,
"846","Ten Sing Norway","Something So Strong","20","1988","Tria Music","20.227","VG+","G",,,
"604","Terry Dolan & The Pirates","Wind Dancer","30","1981","Rag Baby","INT147 408","VG+","VG+",,,
"845","The  Weather Girls","Success","20","1983","CBS","CBS25719","VG+","G",,,
"606","The Alan Parsons Project","Eve (Gatefold)","35","1979","Arista","201 157","VG+","VG+",,,
"607","The Alan Parsons Project","Pyramid","35","1978","Arista","064-60 792","NM","VG+",,,
"808","The Alan Parsons Project","Tales Of Mistery amd Imagination -Edgar Allan Poe","30","1976","20thCentury","6370 243","VG+","VG",,,
"608","The Ambassador-Plaza Quintet","The Cosy Corner Bar","20",,"Amanda","AVRS 18009","VG+","VG",,,
"870","The Andrews Sisters","The Immortal Hits Of The Andrews Sisters","30","1988","The Entertainers","ENT LP 13067","NM","NM",,,
"860","The Animals feat. Eric Burdon","Let It Rock","30","1973","Intercord","INT 128.611","NM","NM",,,
"609","The Band of the Grenadier Guards","National Hymnen","25","1978","Decca","6.23 618","VG+","VG",,,
"611","The Beach Boys","Beach Boys","25","1976","EMI Electrola","64 505","VG+","VG",,,
"612","The Beach Boys","The Beach Boys","25","1970","MFP","MFP 5484","VG+","VG+",,,
"613","The Beach Boys","The Beach Boys","30","1965","MFP","MFP 5235","NM","NM",,,
"614","The Beach Boys","The Best of The Beach Boys vol.3","25","1968","Capitol","1C 048-80 059","VG","VG",,,
"615","The Beach Boys","The Very Best Of The Beach Boys (Anthology 1963-69)","25","1974","EMI Electrola","1 C 152-81482/83","VG+","VG",,,
"890","The Beachboys","All Time Greatest Hits (Double LP)","40","1974","Capitol","1A 138-81675","NM","NM",,,
"610","The Belle Stars","The Belle Stars","25","1983","Stiff Records","6.25456","VG+","VG+",,,
"616","The Box","Closer Together","25","1988","Westpark","87005","VG+","VG+",,,
"617","The Casuals","Hour World","20","1969","Vogue","MDINT 9751","VG","VG",,,
"618","The Catch","Walk The Water","20","1986","Metronome","829014-1ME","VG+","VG",,,
"619","The Cats","The Best Of The Cats","35","1980","MFP","1A022-58021","NM","NM",,,
"620","The Cats","The Story Of The Cats","30","1983","EMI","1A 046-26926","NM","NM",,,
"869","The Cats","Supergold (Double LP)","35","1979","EMI/Horzu","134-26327","VG+","VG+",,,
"621","The Chris Hinze Combination","Saliah (2LP)","30","1984","Keytone","KYT 745/46","VG+","VG+",,,
"622","The Crusaders","At Their Best","30","1982","Motown","230-15-070","VG+","VG",,,
"623","The Dirty Strangers","With Their Friends Ron Wood & Keith Richards","20","1988","TRC","TRC0006","G","VG",,,
"624","The Don Kirshner Concept ","Don Kirshner Cuts ""Hair""","30","1969","RCA Camden","CAS 10 259","NM","NM",,,
"625","The Doobie Brothers","The Captain and Me","35","1973","Warner Bros.","WB46 217","VG+","VG+",,,
"626","The Dubliners","On The Road","25","1973","Transatlantic","200.158","VG+","VG+",,,
"627","The Dubliners","Pop Diamonds","25","1974","Transatlantic","0044.018","NM","VG+",,,
"628","The Dubliners","The Best Of","25","1974","Hallmark","SHM 857","VG+","VG+",,,
"629","The Dubliners","The Best Of (2LP)","30","1972","Transatlantic","TRA 2-158","NM","VG+",,,
"630","The Dubliners","The Dubliners in Concert","25","1970","Hallmark","SHM 682","VG+","VG+",,,
"774","The Dubliners","Greatest Hits","25",,"Fun","FUN9033","NM","NM",,,
"631","The Dudek,Finnigan,Krueger Band","DFK","25","1980","CBS","CBS 83523","VG+","VG+",,,
"632","The Everly Brothers","Stories We Could Tell","20","1972","Camden","CDS 1142","VG","VG",,,
"633","The Flying Pickets","Lost Boys","35","1984","10 Records","206 299","VG+","VG+",,,
"881","The Fortunes","Greatest Hits","25","1985","BR Music","BRLP 27","VG+","VG+",,,
"635","The Hollies","""What Goes Around…""","30","1983","WEA","24-0198-1","NM","NM",,,
"636","The Hollies","Pop Power","30","1976","Polydor","2459 601","VG+","VG+",,,
