"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"Francis Lai","Bilitis - Soundtrack","20","1977","Warner Bros.","WB56412","VG+","VG",,,
"Frank Duval","Face to Face","25","1982","K-Tel","TG1389","VG+","VG+",,,
"Frank Sinatra","Ol' Blue Eyes Is Black (Gatefold)","35","1973","Reprise","WEA31 645","VG+","VG+",,,
"Frankie Goes To Hollywood","Liverpool","25","1986","ZTT","ZTTIQ 8","VG+","VG",,,
"Frankie Miller","Falling In Love","30","1979","Chrysalis","38 780 3","VG+","VG+",,,
"Franz Benton","Talking To A Wall","25","1986","Marlboro Music","257 924","NM","NM",,,
"Frida","Something's Going On","25","1982","Polydor","2311 176","VG+","VG+",,,
"Garland Jeffreys","American Boy & Girl","30","1979","A&M","AMLH64778","VG+","VG+",,,
"Garland Jeffreys","Ghost Writer (Gatefold Cover)","30","1977","A&M","AMLH64629","VG+","VG+",,,
"Gary Wright","The Dream Weaver","30","1975","Warner Bros.","WB 56 141","NM","NM",,,
"Gene Pitney","His 20 Greatest","25","1976","Arcade","ADE P22","VG+","VG+",,,
"Gene Vincent","Rock'n'Roll History vol.2","25",,"Capitol","1C 038-85 097","NM","VG+",,,
"George Baker Selection","Paloma Blanca","35","1975","Warner Bros.","WB 561 136","VG+","VG+",,,
"George Baker Selection","Sing A Song Of Love","35","180","MFP","1A022-58022","VG+","VG+",,,
"George McRae","Rock Your Baby","35","1974","T.K. Records","KPL1-0501","VG+","VG+",,,
"Georges Moustaki","Moustaki","25","1975","Polydor","2393 129","NM","VG+",,,
"Gianna Nannini","Latin Lover","25","1982","Metronome","0065.027","VG+","VG+",,,
"Gianna Nannini","Maschi e Altri","35","1987","Metronome","833952-1","VG+","VG+",,,
"Gianna Nannini","Scandalo","25","1990","Metronome","843977-1","VG+","VG+",,,
"Gianni Togni","Gianni Togni","25","1983","CGD","205 721","NM","NM",,,
"Gibson Brothers","On The Riviera","35","1980","Polydor","2374 163","NM","NM",,,
"Gilbert Becaud","Gilbert Becaud","25","1967","Amiga DDR","850 111","VG+","VG+",,,
"Gilbert O'Sullivan","A Stranger In My Own Back Yard","25","1974","MAM Records","062-EMD 98 016","VG+","VG+",,,
"Gilbert O'Sullivan","Back To Front","15","1972","MAM Records","MAMA503","VG+","VG+",,,
"Gilbert O'Sullivan","Himself (Gatefold)","20","1971","MAM Records","MAMA501","VG+","VG+",,,
"Gilbert O'Sullivan","I'm A Writer, Not A Fighter","15","1973","MAM Records","MAMA505","VG+","VG+",,,
"Gino Vannelli","Brother to Brother","15","1978","A&M","393 170-1","VG+","G",,,
"Glen Campbell","Basic","30","1978","Capitol","064-85 696","VG+","VG+",,,
"Glen Campbell","By The Time I Get To Phoenix","25","1967","Sounds Superb","SPR 90011 1","NM","VG+",,,
"Glenn Miller","The Legenday Sound Of Glenn Miller and his Band","25","1981","K-Tel","TG 1357","VG+","VG",,,
"Glenn Miller","In The Mood","25","1976","Intercord","25 108-2","VG+","VG+",,,
"Glenn Miller","Glenn Miller Plays Selections From The….","20","1960","RCA Victor","CL 13759","VG+","VG+",,,
"Glenn Miller","String of Pearls (2LP)","25","1973","Pickwick","CD2-0168D","VG+","VG+",,,
"Glenn Miller","Das Beste","20",,"RCA","RD 1013","VG","VG",,,
"Glenn Miller","Die Originalaunahmen (2LP)","25",,"RCA Victor","RCS 3105/1-2","VG+","VG+",,,
"Glenn Shorrock","Villain of the Peace","25","1983","Capitol","1A 064-7122221","VG+","VG+",,,
"Gloria Gaynor","Never Can Say Goodbye","30","1975","MGM","2315321","NM","NM",,,
"Godley & Creme","Goodbye Blue Sky","35","1988","Polydor","835 348-1","VG+","VG+",,,
"Golden Avatar","A Change Of Heart","35","1976","Sudarshan","BBT 108","VG+","VG+",,,
"Golden Earring's","Greatest Hits","30","1981","Polydor","2311 094","VG+","VG+",,,
"Goombay Dance Band","Land of Gold","30","1980","CBS","32337-8","NM","NM",,,
"Gordon Lightfoot","Gord's Gold (Double LP)","25","1975","Reprise","REP64 033","VG+","VG",,,
"Gordon Lightfoot","The Very Best Of","20","1975","UA records","UAS 29 759 Z","VG","VG",,,
"Gordon Lightfoot","Gord's Gold (Double LP)","35","1975","Reprise","REP64033","VG+","VG",,,
"G-Pal","Life (2LP)","35","2000","Plastic City","PLACLP021","VG+","VG",,,
"Grace Jones","Slave To The Rhytm","20","1985","Manhattan","062-24 0447","VG+","G",,,
"Grace Jones","Portfolio (Gatefold)","20","1976","Island","ILPS9470","VG+","VG",,,
"Grace Jones","Inside Story","20","1986","Manhattan","24 0643 1","VG","VG",,,
"Gus","Convicted","30","1980","Epic","EPC84422","NM","NM",,,
"Haicut One Hundred","Pelican West","25","1982","Arista","204 521","VG+","VG",,,
"Hank and The Bullfrogs","Hank Lorraine sings and plays Johnny Cash Hits","30","1973","AudiTon","909-2-121094","NM","VG+",,,
"Hank The Knife and The Jets","The Guitar King","20","1975","EMI","1C 056-97115A","VG+","G",,,
"Harold Melvin and The Blue Notes","Reaching For The World","20","1976","ABC Records","AB-969","VG+","VG+",,,
"Harry Belafonte","Harry Belafonte","20",,"Amiga","8 55 482","VG+","VG",,,
"Harry Belafonte","Jump Up Calypso (Gatefold)","30","1961","RCA","SRS 561","VG+","VG+",,,
"Harry Belafonte","Live on Stage at Carnegie Hall","25",,"RCA","6886 805","VG+","VG+",,,
"Hazel O'Connor","Breaking Glass","25","1980","A&M","396 943","VG+","VG+",,,
"Heaven 17","The Luxury Gap","30","1982","Virgin","205 337-320","VG+","VG+",,,
"Heaven 17","How Men Are","30","1984","Virgin","206 614-620","VG+","VG+",,,
"Helen Schneider","With The Kick","30","1983","WEA","24-0233-1","NM","VG+",,,
