"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"The Cats","The Best Of The Cats","35","1980","MFP","1A022-58021","NM","NM",,,
"The Cats","The Story Of The Cats","30","1983","EMI","1A 046-26926","NM","NM",,,
"The Cats","Supergold (Double LP)","35","1979","EMI/Horzu","134-26327","VG+","VG+",,,
"The Chris Hinze Combination","Saliah (2LP)","30","1984","Keytone","KYT 745/46","VG+","VG+",,,
"The Crusaders","At Their Best","30","1982","Motown","230-15-070","VG+","VG",,,
"The Dirty Strangers","With Their Friends Ron Wood & Keith Richards","20","1988","TRC","TRC0006","G","VG",,,
"The Don Kirshner Concept ","Don Kirshner Cuts ""Hair""","30","1969","RCA Camden","CAS 10 259","NM","NM",,,
"The Doobie Brothers","The Captain and Me","35","1973","Warner Bros.","WB46 217","VG+","VG+",,,
"The Dubliners","On The Road","25","1973","Transatlantic","200.158","VG+","VG+",,,
"The Dubliners","Pop Diamonds","25","1974","Transatlantic","0044.018","NM","VG+",,,
"The Dubliners","The Best Of","25","1974","Hallmark","SHM 857","VG+","VG+",,,
"The Dubliners","The Best Of (2LP)","30","1972","Transatlantic","TRA 2-158","NM","VG+",,,
"The Dubliners","The Dubliners in Concert","25","1970","Hallmark","SHM 682","VG+","VG+",,,
"The Dubliners","Greatest Hits","25",,"Fun","FUN9033","NM","NM",,,
"The Dudek,Finnigan,Krueger Band","DFK","25","1980","CBS","CBS 83523","VG+","VG+",,,
"The Everly Brothers","Stories We Could Tell","20","1972","Camden","CDS 1142","VG","VG",,,
"The Flying Pickets","Lost Boys","35","1984","10 Records","206 299","VG+","VG+",,,
"The Fortunes","Greatest Hits","25","1985","BR Music","BRLP 27","VG+","VG+",,,
"The Hollies","""What Goes Around…""","30","1983","WEA","24-0198-1","NM","NM",,,
"The Hollies","Pop Power","30","1976","Polydor","2459 601","VG+","VG+",,,
"The Hollies","The Hollies","30","1977","Polydor","2438 104","NM","NM",,,
"The Hollies","Bus Stop","20","1966","EMIDisc","048-EMD-50732","VG+","VG",,,
"The Isley Brothers","Grand Slam","30","1981","Tnek","AL37080","VG+","VG+",,,
"The Jacky's","Boogie- Rock'n'Roll & Blues","25","1982","EMI","13 C058-76095 S","VG+","VG",,,
"The Kids","The Kids","15","1979","Mercury","9198 526","VG+","VG+",,,
"The Kingston Trio","The Best Of","20","1975","Capitol","SM1705","VG+","VG+",,,
"The Kinks","Ihre 20 grossten Hits","25","1978","Arcade","ADE G 56","VG+","VG",,,
"The Knack","Get The Knack","30","1979","Capitol","27 300-3","VG+","VG+",,,
"The Les Humphries Singers","20 Grossten Hits","20",,"Arcade","ADE G 16","NM","NM",,,
"The Les Humphries Singers","Hits Of Yesterday","20","1982","Telefunken","91 433 3","NM","NM",,,
"The London Symphony Orchestra","Rhapsody In Black","20","1979","K-Tel","ONE1063","VG","VG",,,
"The London Symphony Orchestra","Classic Rock","25","1977","Polydor","2374 133","VG+","VG",,,
"The Lords","The Best Of","30","1969","Columbia","1 C 048-29 783","VG+","VG+",,,
"The Lords","The Best Of The Lords","25","1972","EMI/Columbia","1 C 048-29 783","VG+","VG+",,,
"The Magic Platters","Welthits zum Traumen","20","1987","Dino","1471","NM","NM",,,
"The Manhattan Transfer","Live","25","1987","Atlantic","781 723-1","VG+","VG+",,,
"The Manhattan Transfer","Coming Out","30","1976","Atlantic","ATL 50291","VG+","VG+",,,
"The Manhattan Transfer","Pastiche","20","1978","Atlantic","ATL 50 444","VG","VG+",,,
"The Manhattans","That’s How Much I Love You","20","1974","Columbia","BL 33064","VG","G",,,
"The Marshall Tucker Band","Long Hard Ride","20","1976","Capricorn Rec.","2429 140","VG+","G",,,
"The Marshall Tucker Band","Dedicated","40","1981","Warner Bros.","WB56887","NM","NM",,,
"The Mike Leander Orchestra","Privilege (Soundtrack)","15","1967","Vogue","LDVS17136","VG+","VG+",,,
"The Moody Blues","The Other Side Of Life","20","1987","Melodia -USSR","С60 26203 009","VG+","VG",,,
"The Moody Blues","Every Good Boy Deserves Favour","25","1971","Threshold","6.22165","VG+","VG",,,
"The Multicoloured Shades","Sundome City Exit","30","1987","Virgin","208 320","NM","NM",,,
"The Oak Ridge Boys","Greatest Hits","30","1980","MCA Records","203 073","NM","NM",,,
"The Outfield","Play Deep","35","1985","CBS","CBS26594","VG+","VG+",,,
"The Outfield","Voices Of Babylon","35","1989","CBS","463445 1","NM","NM",,,
"The Palmer Band","What's In Front Of You","30","1980","Prisma","1C064-46044A","NM","NM",,,
"The Platters","Only You","30","1987","Babylon","F/80016","NM","NM",,,
"The Rattles","The Witch / Kingdom Of Love (Maxi Single)","10","1988","ACT (4), Mercury","872 533-2","VG+","VG+",,,
"The Rattles","The Rattles!","25","1974","Fontana","6434 162","VG+","VG+",,,
"The Riats","The Greatest Evergreens","20","1969","Iris Records","15.041","VG","VG",,,
"The Ritchie Family","Give Me A Break","30","1980","Imavox","IM-30.114","VG+","VG+",,,
"The Runaways","Rock Heavies","25","1978","Mercury","6336 625","NM","VG",,,
"The Searchers","The Golden Hour Of ","25","1972","Golden Hour","GH541","VG+","VG",,,
"The Searchers","Second Take","25","1972","RCA","PJL1-8009","NM","VG+",,,
"The Searchers","Hits Collection","25","1987","PRT Records","6.26697","VG+","VG+",,,
"The Searchers","Needles & Pins","25","1971","Hallmark","HMA203","NM","NM",,,
"The Seekers","Remember The Golden Years (Double LP)","30",,"Horzu Exclusiv","148-06 535/36","NM","NM",,,
"The Seekers","The Four & Only Seekers","25","1969","MFP","MFP5025","NM","NM",,,
"The Shadows","Live (2LP)","30","1975","MFP","MFP1018","VG+","VG",,,
"The Shadows","The Shadows","25","1966","MFP","MFP5501","VG+","VG",,,
"The Shadows","The Shadows Story","20","1971","Columbia","5C 052-04831","VG+","VG",,,
"The Shadows","The Shadows","20",,"Emidisc","1 C 048-51 765","VG","VG",,,
"The Shadows","Out Of The Shadows","25",,"Emidisc","C 048-50 726","NM","NM",,,
"The Shadows","The Best Of (Double LP) (Cu Autografe)","40","1972","EMI/Columbia","148-04 860","NM","NM",,,
"The Shakin' Piramids","Skin'em Up","15","1981","Virgin","V2199","G","G",,,
"The Spotnicks","Le Tour Du Monde (Cutie cu 4 LP)","35",,"President","COFF901","VG+","VG",,,
"The Spots","Beat, Beat, Beat","15","1967","Europa","E174","VG+","VG",,,
"The Stanky Brown Group","If The Lights Don't Get You","25","1977","Sire","SA7529","VG+","VG+",,,
"The Style Council","Our Favourite Shop","20","1985","Polydor","825 700-1","VG+","G",,,
"The Teens","Teens & Jeans & Rock'n'Roll","20","1979","Hansa","200 845","VG","VG+",,,
"The Walker Brothers","The Walker Brothers Story (2LP)","30","1966","Philips","DBL002-A","VG+","VG+",,,
"The Weather Girls","The Weather Girls","25","1988","CBS","460470 1","VG+","VG+",,,
"The Who","Live At Leeds (Red Lettering)","40","1970","Track","2406 001","G","G",,,
"Thelma Houston","The Devil In Me","25","1977","Motown","1C 064-60140","VG","VG",,,
"Them Featuring Van Morrison","Them Featuring Van Morrison","25","1979","Decca","6.24005AL","VG+","VG+",,,
"Three Dog Night ","Naturally (Gatefold)","30","1970","Probe","1C 062-91907","VG","VG",,,
"Tom Jones","At The Talk Of The Town (Live)","20","1967","Decca","SLK16483-P","VG","VG",,,
"Tom Jones","Seine 20 Grossten Erfolge","20",,"K-Tel","TG 1183","VG+","VG+",,,
"Tom Jones / Engelbert Humperdinck","Compilatie","20","1972","Balkanton","BTA 1472","NM","VG+",,,
"Tom Scott","Desire","30","1982","Elektra","MUS K 52411","VG+","VG+",,,
"Tommy Reilly","Wandrin' Star","25","1971","Polydor","238-029","VG+","VG",,,
"Tony Christie","Ladies' Man","25","1980","RCA Victor","PL28382","NM","NM",,,
"Tony Stone","For A Lifetime","30","1987","Ensign/Chrysalis","209 359","NM","NM",,,
"Tower Of Power","Ain't Nothin' Stoppin' Us Now","20","1976","CBS","CBS81572","VG+","G",,,
"Traks","Long Train Runnin'","30","1982","Polydor","2374 201","VG+","VG+",,,
"Traks","Get Ready","25","1983","Polydor","813 243-1","VG+","VG+",,,
"Transister","Zig-Zag","25","1979","Ariola","201 163-320","NM","NM",,,
"Truck Stop","Truckin' On New Tracks","15","1976","Telefunken","6 22 407","VG+","VG+",,,
"Ultravox","Vienna","35","1980","Chrysalis","202 701-320","VG","VG+",,,
"Van Morrison","Astral Weeks","20","1972","Midi","MID 26 004","VG","G",,,
"Various Artists","Against All Odds OST","35","1984","Atlantic","780 152-1","VG+","VG",,,
"Various Artists","Filme - Die Man Nicht Vergist (Muzica de film) (2LP)","30",,"United Artists","UAS 29 126/27 X","VG+","VG+",,,
"Various Artists","Jesus Super Soul","30",,"Polydor","2480 065","VG+","VG+",,,
"Various Artists","More Dirty Dancing","25","1988","RCA","BL 86965","VG+","VG+",,,
"Various Artists","Pretty Woman - Soundtrack","30","1990","EMI USA","MTL 1052","VG+","VG+",,,
"Various Artists","Staying Alive OST","25","1983","RSO","813269-1","VG","G",,,
"Various Artists","Greenpeace - Rainbow Warriors (2LP)","35","1989","Geffen","XGHS24236","VG+","VG+",,,
"Various Artists","Thank God It's Friday -Soundtrack (2LP)","30","1978","Casablanca","NB7041","VG","VG",,,
"Various Artists","Volunteer Jam VII hosted by Charlie Daniels Band","25","1981","Epic","AL37178","NM","VG+",,,
"Various Artists","Super Italia","30","1985","K-Tel","TG1571","NM","NM",,,
"Vice","Second Excess","25","1990","Ariola","210 534","VG+","VG+",,,
"Viktor Lazlo","Viktor Lazlo","30","1987","Polydor","832 147","VG+","VG+",,,
"Viktor Lazlo","She","30","1985","Polydor","827 958-1","VG+","VG+",,,
"Village People","Cruisin'","25","1978","Metronome","0900.112","VG","VG",,,
"Village People","Macho Man","30","1978","Telefunken","6.23 449","VG+","VG+",,,
"Village People","Go West","25","1979","Metronome","0060.183","VG+","VG+",,,
"Village People","Cruisin'","25","1978","Casablanca","NBLP7118","VG+","VG+",,,
"Village People","I Am What I Am - The Best Of Village People","30","1979","Telefunken","6.23.697","VG+","VG+",,,
"Vince Webber","Piano Blues & Boogie Woogie","20","1975","EMI Electrola","C 062-29 597","G","VG",,,
"VOG","VOG","25","1981","RCA Victor","PL 28466","VG+","VG+",,,
"Warren Schatz","Warren Schatz","15","1971","Intercord","26014-1","VG","VG",,,
"Werner Muller Orchestra","Werner's Muller's Grosse Musical Show","10",,"Decca","BLK 16 310-P","VG","G",,,
"Wilson Pickett","Star Collection vol.1","25","1972","MIDI","MID 20 017","VG+","VG+",,,
"Wilson Pickett","Star Collection vol.2","25","1974","MIDI","MID 20 078","VG+","VG+",,,
"Wilson Pickett","Star Collection","25","1972","MIDI","MID 20 017","VG+","VG+",,,
"Womack & Womack","Conscience","35","1988","4th & Broadway","209 139","VG+","VG+",,,
"Working Week","Working Nights","25","1985","Virgin","206 950","VG+","VG+",,,
"Working Week","Working Nights  (LP) + Stellamarina (MaxiSingle)","30","1985","Virgin","206 950/601 733","VG+","VG+",,,
"Zarah Leander","Ich weiss es wird eial (2LP)","15",,"Ariola","86 734","VG+","VG+",,,
